season,week,home_team,away_team,home_score,away_score,home_team_win,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,game_date_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away,game_date_away,month,day,year
2019,5,SEA,LA,30,29,1,-0.098881223,0.134948147,-0.068955007,-0.007790925,10/3/2019,-0.008397253,0.052876558,-0.138376686,0.051699325,10/3/2019,10,3,2019
2019,5,NYG,MIN,10,28,0,0.027839759,0.084147041,-0.074951816,0.068757925,10/6/2019,-0.019142111,-0.02368661,-0.192027646,-0.068330437,10/6/2019,10,6,2019
2019,5,WAS,NE,7,33,0,-0.204833329,-0.177676637,-0.049592962,0.16824202,10/6/2019,-0.051531491,0.098888983,-0.206241159,-0.308016179,10/6/2019,10,6,2019
2019,5,PHI,NYJ,31,6,1,-0.08854816,0.130354952,-0.129032289,0.146788157,10/6/2019,-0.295314819,-0.206880409,-0.044812801,0.084842138,10/6/2019,10,6,2019
2019,5,NO,TB,31,24,1,-0.107579411,0.068273224,-0.15496221,0.079843384,10/6/2019,-0.093995623,0.130501506,-0.152171971,0.051058477,10/6/2019,10,6,2019
2019,6,ARI,ATL,34,33,1,0.017052239,-0.123677524,0.00361012,0.144725939,10/13/2019,-0.144092165,0.129594895,-0.043959171,0.333627436,10/13/2019,10,13,2019
2019,6,TB,CAR,26,37,0,-0.079584785,0.115173794,-0.144695652,0.10183985,10/13/2019,-0.031471443,0.016869654,0.039025807,-0.085387751,10/13/2019,10,13,2019
2019,6,BAL,CIN,23,17,1,0.043115794,0.086454039,-0.08531325,0.051536091,10/13/2019,-0.13077873,-0.077367604,-0.038893364,0.240616788,10/13/2019,10,13,2019
2019,6,NYJ,DAL,24,22,1,-0.269140708,-0.341142474,-0.083072391,0.06928989,10/13/2019,-0.003643833,0.160507668,-0.043076521,0.00567126,10/13/2019,10,13,2019
2019,6,GB,DET,23,22,1,0.015916883,0.051624525,0.028153933,0.050439638,10/14/2019,-0.18491382,0.089076807,-0.050757886,-0.011349531,10/14/2019,10,14,2019
2019,6,KC,HOU,24,31,0,-0.067953505,0.261484207,0.060235555,-0.018818909,10/13/2019,0.016125618,0.171961079,-0.115131575,0.01264086,10/13/2019,10,13,2019
2019,6,JAX,NO,6,13,0,-0.058523391,-0.07676666,-0.022108239,0.031635848,10/13/2019,-0.108211016,0.115923936,-0.12946661,0.073726543,10/13/2019,10,13,2019
2019,6,NE,NYG,35,14,1,-0.058195057,0.128266733,-0.163682284,-0.401451749,10/10/2019,0.006871783,0.02192888,-0.082195992,0.17843394,10/10/2019,10,10,2019
2019,6,MIN,PHI,38,20,1,-0.036533644,0.10279738,-0.173019012,-0.102824751,10/13/2019,-0.118855009,0.106527893,-0.133092171,-0.051775088,10/13/2019,10,13,2019
2019,6,LAC,PIT,17,24,0,-0.155171095,0.084728064,-0.066798923,0.047701075,10/13/2019,-0.154621817,0.024272775,-0.073821056,-0.036692727,10/13/2019,10,13,2019
2019,6,CLE,SEA,28,32,0,-0.04895121,-0.07956293,0.014827587,0.032961025,10/13/2019,-0.088988302,0.200542924,-0.095215442,0.049099562,10/13/2019,10,13,2019
2019,6,LA,SF,7,20,0,-0.045668245,0.098736339,-0.121302718,0.132430257,10/13/2019,-0.090147182,0.164093126,-0.129027571,-0.127503739,10/13/2019,10,13,2019
2019,6,DEN,TEN,16,0,1,-0.032188232,-0.047129445,-0.093722682,0.034420815,10/13/2019,-0.058585307,6.28E-05,-0.157278218,-0.072101448,10/13/2019,10,13,2019
2019,6,MIA,WAS,16,17,0,-0.21275491,-0.275121427,0.009055762,0.403616157,10/13/2019,-0.162529573,-0.294812753,-0.05660913,0.185010414,10/13/2019,10,13,2019
2019,7,NYG,ARI,21,27,0,-0.023409566,-0.114485838,-0.10494916,0.13578482,10/20/2019,-0.014634897,0.000313356,0.007099366,0.211812037,10/20/2019,10,20,2019
2019,7,SEA,BAL,16,30,0,-0.113725389,0.251864394,-0.057453685,0.017945165,10/20/2019,0.06768018,0.084940327,-0.127958541,0.0364925,10/20/2019,10,20,2019
2019,7,IND,HOU,30,23,1,0.00555905,0.046238221,-0.008422411,0.08602844,10/20/2019,0.01811802,0.205242139,-0.087415379,0.018314852,10/20/2019,10,20,2019
2019,7,CIN,JAX,17,27,0,-0.16515756,-0.068973753,0.000582159,0.211072929,10/20/2019,-0.093942314,-0.11104058,-0.054809299,0.037729254,10/20/2019,10,20,2019
2019,7,DEN,KC,6,30,0,-0.060310891,-0.059429566,-0.147346595,-0.045017699,10/17/2019,-0.04881527,0.221913545,0.054207894,0.049149662,10/17/2019,10,17,2019
2019,7,ATL,LA,10,37,0,-0.113747807,0.199431276,-0.064552849,0.374469814,10/20/2019,-0.129091954,-0.037331143,-0.134679767,0.107638507,10/20/2019,10,20,2019
2019,7,TEN,LAC,23,20,1,-0.118597569,-0.073128202,-0.16265676,-0.079861064,10/20/2019,-0.274019967,0.092494765,-0.084830104,0.062626393,10/20/2019,10,20,2019
2019,7,BUF,MIA,31,21,1,-0.035501226,-0.10229187,-0.055058057,-0.199379275,10/20/2019,-0.147628875,-0.284733501,-0.005275584,0.337669059,10/20/2019,10,20,2019
2019,7,DET,MIN,30,42,0,-0.161840476,0.078012196,-0.048085824,-0.0202085,10/20/2019,-0.076163411,0.184201018,-0.173719631,-0.099084927,10/20/2019,10,20,2019
2019,7,NYJ,NE,0,33,0,-0.233099891,-0.230145808,-0.086824636,0.105217006,10/21/2019,-0.085311753,0.094739502,-0.162953313,-0.460886167,10/21/2019,10,21,2019
2019,7,CHI,NO,25,36,0,-0.162556606,0.083869316,-0.169656289,-0.115536126,10/20/2019,-0.125256824,0.106692088,-0.151986583,0.012090048,10/20/2019,10,20,2019
2019,7,GB,LV,42,24,1,0.006466105,0.031315683,0.012487062,0.046400142,10/20/2019,-0.056064451,0.054315929,-0.091274406,0.207761319,10/20/2019,10,20,2019
2019,7,DAL,PHI,37,10,1,-0.02183774,0.179849079,-0.048139205,0.053608731,10/20/2019,-0.129403695,0.072203303,-0.155165478,0.057732352,10/20/2019,10,20,2019
2019,7,WAS,SF,0,9,0,-0.145662972,-0.233770279,-0.019873796,0.091736359,10/20/2019,-0.109189214,0.133543975,-0.197295946,-0.222437745,10/20/2019,10,20,2019
2019,8,NO,ARI,31,9,1,-0.09032729,0.137514198,-0.439685909,0.004083396,10/27/2019,-0.034459875,0.034514715,0.023992883,0.110647111,10/27/2019,10,27,2019
2019,8,SF,CAR,51,13,1,-0.113864172,0.116643276,-0.238238716,-0.190212659,10/27/2019,-0.066756842,0.04338539,0.032082674,-0.110225462,10/27/2019,10,27,2019
2019,8,LA,CIN,24,10,1,-0.14616753,0.05736315,-0.134836527,0.033273548,10/27/2019,-0.186403124,-0.118697533,-0.014786769,0.194710991,10/27/2019,10,27,2019
2019,8,NE,CLE,27,13,1,-0.080202364,0.094903578,-0.146010742,-0.551532303,10/27/2019,-0.019600961,-0.087323964,-0.028785707,0.114752987,10/27/2019,10,27,2019
2019,8,IND,DEN,15,13,1,-0.082842022,0.116484937,-0.010288608,0.079781211,10/27/2019,-0.06725615,-0.148386726,-0.137472489,-0.024990052,10/27/2019,10,27,2019
2019,8,KC,GB,24,31,0,-0.056856167,0.19340771,0.026440949,-0.059548528,10/27/2019,-0.00780214,0.206392741,-0.046218448,0.171614027,10/27/2019,10,27,2019
2019,8,CHI,LAC,16,17,0,-0.448336634,0.062811607,-0.126653685,-0.044307963,10/27/2019,-0.324819127,0.141402992,-0.097412155,0.136572716,10/27/2019,10,27,2019
2019,8,PIT,MIA,27,14,1,-0.156684979,0.043457757,-0.207460457,-0.006849357,10/28/2019,-0.114980174,-0.222950411,0.005602246,0.327931945,10/28/2019,10,28,2019
2019,8,DET,NYG,31,26,1,-0.139566448,0.108558966,-0.015724372,0.118360958,10/27/2019,-0.000968948,-0.1563228,-0.108353089,0.145354579,10/27/2019,10,27,2019
2019,8,JAX,NYJ,29,15,1,-0.092124711,-0.06883579,-0.096118206,-0.031394882,10/27/2019,-0.203402857,-0.362747105,-0.081440085,0.103476047,10/27/2019,10,27,2019
2019,8,HOU,LV,27,24,1,0.011426255,0.177319528,-0.158911475,0.093638283,10/27/2019,-0.102306277,0.178091468,-0.087771467,0.350758111,10/27/2019,10,27,2019
2019,8,BUF,PHI,13,31,0,-0.019127736,-0.0320348,-0.039240684,-0.153115385,10/27/2019,-0.15741084,-0.018843714,-0.121328437,0.096224879,10/27/2019,10,27,2019
2019,8,ATL,SEA,20,27,0,-0.117710401,0.108376722,-0.093362855,0.39429064,10/27/2019,-0.0916651,0.143133755,-0.00522186,0.020859143,10/27/2019,10,27,2019
2019,8,TEN,TB,27,23,1,-0.125040015,0.025501041,-0.233703994,0.000384924,10/27/2019,-0.064961957,0.053869541,-0.159394552,0.112906251,10/27/2019,10,27,2019
2019,8,MIN,WAS,19,9,1,-0.038697059,0.285603971,-0.149285851,-0.036338496,10/24/2019,-0.19599356,-0.199484814,-0.040788165,0.082437228,10/24/2019,10,24,2019
2019,9,PHI,CHI,22,14,1,-0.106395472,0.010333238,-0.146032816,0.054949231,11/3/2019,-0.390466639,0.032670874,-0.144484752,-0.039832645,11/3/2019,11,3,2019
2019,9,DEN,CLE,24,19,1,-0.06339998,-0.158354198,-0.117183358,-0.056128611,11/3/2019,-0.068561548,-0.117898491,-0.07209998,0.118148524,11/3/2019,11,3,2019
2019,9,NYG,DAL,18,37,0,-0.018741301,-0.124604982,-0.15588719,0.19005091,11/4/2019,-0.012242221,0.196138481,-0.090921924,-0.03405769,11/4/2019,11,4,2019
2019,9,LV,DET,31,24,1,-0.104680964,0.235048235,-0.06625601,0.332939914,11/3/2019,-0.181425431,0.159945603,-0.030813928,0.100135693,11/3/2019,11,3,2019
2019,9,LAC,GB,26,11,1,-0.306619718,0.112112365,-0.103347425,0.093020886,11/3/2019,0.022262766,0.234841155,-0.05839812,0.175822477,11/3/2019,11,3,2019
2019,9,JAX,HOU,3,26,0,-0.112976074,0.005997119,-0.092796663,-0.070675513,11/3/2019,0.014905504,0.191035953,-0.15099422,0.165949945,11/3/2019,11,3,2019
2019,9,PIT,IND,26,24,1,-0.128061691,0.052875842,-0.224840006,-0.042243367,11/3/2019,-0.072485859,0.05962345,-0.016790294,0.028328236,11/3/2019,11,3,2019
2019,9,KC,MIN,26,23,1,-0.06710168,0.193653644,0.050279763,0.017253092,11/3/2019,-0.050759184,0.27284586,-0.147780118,-0.091996192,11/3/2019,11,3,2019
